AVERAGE MARGIN BY STATE,
Row Labels,Average of Net_Margin_pct
Illinois,-39.17
Texas,-34.20
Colorado,-12.38
Pennsylvania,-8.60
Ohio,-7.38
Arizona,-6.64
Oregon,-5.01
Florida,-1.80
Tennessee,-1.68
(blank),
North Carolina,0.78
Wyoming,6.25
Washington,27.64
Idaho,27.75
California,27.83
New Mexico,29.72
New York,29.84
Nevada,30.43
Utah,30.93
Rhode Island,31.23
Montana,31.28
South Carolina,31.76
Wisconsin,31.79
Nebraska,32.84
Oklahoma,33.11
Alabama,33.15
Virginia,33.20
Massachusetts,33.28
Kentucky,33.31
Michigan,33.34
Kansas,33.38
Louisiana,33.52
New Jersey,33.53
Connecticut,33.64
West Virginia,33.89
New Hampshire,34.26
Maryland,34.38
Vermont,34.45
Georgia,34.52
Mississippi,34.57
Missouri,34.61
Indiana,34.79
Delaware,35.01
North Dakota,35.14
Minnesota,35.80
Maine,36.38
South Dakota,37.75
Arkansas,37.95
Iowa,39.93
District of Columbia,42.20
Grand Total,12.03
